agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"11","Schweizerische Bundesbahnen SBB","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"886","Regionale Verkehrsbetriebe Baden-Wettingen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"723","Aargau Verkehr AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"840","Busbetrieb Aarau","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"801","PostAuto Schweiz","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"96","Wynental-und Suhrental-Bahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"31","BDWM Transport (bd)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"65","THURBO","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"849","Verkehrsbetriebe Zürich","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"899","BDWM Transport (wm Auto)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"839","Zugerland Verkehrsbetriebe","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"873","Regionalbus Lenzburg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"793","Busbetrieb Olten-Gösgen-Gäu","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"811","Autobus AG Liestal","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"896","Regiobus Gossau SG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"799","Verkehrsbetriebe Herisau","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"744","Automobildienst Appenzeller Bahnen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"22","Appenzeller Bahnen (ab)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"138","Bus Ostschweiz (Rheintal)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"82","Schweizerische Südostbahn (sob)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"37","Baselland Transport","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"879","Auto BLT","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"823","Basler Verkehrsbetriebe","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"94","Waldenburgerbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"L7","SBB GmbH","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"351","SBB GmbH (Grenzverkehr)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"767","Domo Swiss Express AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"850","Autobusbetrieb RBS","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"88","Regionalverkehr Bern-Solothurn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"827","Städtische Verkehrsbetriebe Bern","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"889","Verkehrsbetriebe der Stadt Biel","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7046","Bürgerbus Kleindietwil-Oeschenbach-Walterswil","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"883","Busbetrieb Solothurn und Umgebung","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"870","Automobildienste Aare Seeland mobil","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"146","Verkehrsbetriebe STI AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"871","Busland AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"859","Autoverkehr Grindelwald","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"813","Autoverkehr Frutigen-Adelboden","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"833","Automobiles CJ","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"33","BLS AG (bls)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7080","Bus alpin Lombachalp","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"307","Bergbahnen Meiringen-Hasliberg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"53","Transports publics fribourgeois","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"103","Verkerhsbetriebe Biel","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7038","Autobusbetrieb LEE","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7025","Busbetrieb Kandersteg - Gasterntal","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"834","Service dautomobiles TPF","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7088","Trägerverein Historische Postautolinie","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7051","Kröschenbrunnen Bus","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"894","Busbetrieb Grenchen und Umgebung","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7044","Bürgerbus Walperswil-Epsach-Täuffelen-Aarberg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7053","Bürgerbus Hellsau-Höchstetten-Willadingen-Koppigen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7087","Bürgerbus Rüderswil","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7045","Bürgerbus Gondiswil-Huttwil-Ufhusen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7079","PRO REGIO HUTTWIL Verkehrsverein","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7055","Funicar Kursbetriebe AG Biel","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"876","Transports publics Vevey-Montreux-Chillon-Villeneuve","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"881","Transports Publics Genevois","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"776","Transports Publics de l'agglomération d'Annemasse","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"856","Autobetrieb Sernftal","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7037","SBB Auto Bahnersatz","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7047","Sumvitg Turissem","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7081","Verein Naturpark Beverin","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7078","Busbetrieb Gemeinde Bergün","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"766","Stadtbus Chur","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"815","Bus und Service AG (Engadin)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7031","Aroser Verkehrsbetriebe","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"740","Verkehrsbetrieb der Landschaft Davos","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"72","Rhätische Bahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7085","Ortsbus der Gemeinde Silvaplana / Gemeinde Silvaplana","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7094","Gemeinde Luzein","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"820","Verkehrsbetriebe Luzern","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"841","Auto AG Schwyz","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"819","Automobil Rottal AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"812","Auto AG Rothenburg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"816","Auto AG Uri","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"86","Zentralbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"153","Transports Publics Neuchâtelois SA (tn)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"792","Transports Publics Neuchâtelois SA (tc)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"156","Service dautomobiles TRN(vr)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"796","Service dautomobiles TRN (rvt Auto)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"222","Sportbahnen Melchsee-Frutt (lsm)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"838","Verkehrsbetriebe Zürichsee und Oberland","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"885","Verkehrsbetriebe der Stadt St.Gallen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"843","Autokurse Oberthurgau","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7001","Events / Manifestations / Eventi","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"772","Busbetrieb Rapperswil-Eschenbach-Rüti ZH","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7017","Gemeinde St. Gallenkappel","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"832","Autobetrieb Weesen-Amden","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"826","Bus Ostschweiz (Wil)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"810","Busbetrieb Lichtensteig-Wattwil-Ebnat-Kappel","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"836","Verkehrsbetriebe Schaffhausen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"846","Regionale Verkehrsbetriebe Schaffhausen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"06","DB Regio AG Baden-Württemberg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"354","Südbadenbus GmbH","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"777","Busbetrieb Wollerau-Samstagern","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"755","Autobusbetrieb Freienbach","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"955","Trasporti Pubblici Luganesi","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"736","Autolinea Mendrisiense SA","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"817","Autolinee FART","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"327000","TreNord","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7057","Bus Personico-Bodio","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"862","Autolinee Bleniesi","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"737","Servizio dautomobili","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"858","Autolinee Regionali Luganesi","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"47","Lugano-Ponte Tresa","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"51","Frauenfeld-Wil","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"797","Stadtbus Frauenfeld","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"727","Verkehrsbetriebe Kreuzlingen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7069","Andermatt-Urserntal Tourismus GmbH","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7027","Walkers Söhne Urnerboden","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"151","Transport publics de la Région Lausannoise","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"818","Service dautomobiles TPC (aomc auto)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"852","Service dautomobiles TPC (bvb auto)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7062","Office du tourisme de Leysin","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"344","Transports de la Région Morges-Bière-Cossonay","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"895","Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"868","Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"731","Autotransports de la Vallée de Joux","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"764","Automobiles MBC","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"741","Bus Nyon-Prangins","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"738","Transports Publics de la Région Nyonnaise","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"55","Lausanne-Echallens-Bercher","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"39","Transports Publics du Chablais (bvb)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"3002","Aletsch-Express Riederalp-Bettmeralp","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"835","Service dautomobiles TMR","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"853","Theytaz Excursions Sion","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"714","Bus Sierrois","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"888","Autotransports Sion-Grône-Sierre","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"142","Sierre-Montana-Crans","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"814","RegionAlps Bus","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"708","Elektrobus Zermatt","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"882","Stadtbus Winterthur","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"78","Sihltal-Zürich-Uetliberg-Bahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"3849","Verkehrsbetriebe Zürich INFO+","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"807","Automobildienst SZU","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"46","Forchbahn","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"164","Dolderbahn Betriebs AG","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"773","Verkehrsbetriebe Glattal","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"204","Adliswil-Felsenegg","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"35","Berner Oberland-Bahnen","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7050","ZB Bus Fahrplanbedürfnisse","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"7000","Interimsfahrplan / Horaire interimaire / Orario ad interim","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
"61","Transports de Martigny et Régions (mc)","http://www.sbb.ch/","Europe/Berlin","DE","0900 300 300 "
