service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0cau","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11x7","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11x8","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11x9","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0uwe","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0n6z","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11s7","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0axy","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11xa","1","0","0","1","0","1","1","20181209","20191214"
"TA+b085p","0","0","0","0","0","1","0","20181209","20191214"
"TA+b08in","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08gc","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11nh","0","0","1","0","0","0","0","20181209","20191214"
"TA+b11xb","0","0","0","0","0","0","1","20181209","20191214"
"TA+b09a6","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0b2o","0","0","0","0","0","0","1","20181209","20191214"
"TA+b07dh","0","0","0","0","0","1","0","20181209","20191214"
"TA+b11xc","0","0","0","0","0","1","1","20181209","20191214"
"TA+b06jt","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08y0","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08v6","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11xd","0","0","0","0","0","1","0","20181209","20191214"
"TA+b09x3","0","0","0","0","0","1","0","20181209","20191214"
"TA+b05zj","0","0","0","0","0","0","1","20181209","20191214"
"TA+b09nt","0","0","0","0","0","1","0","20181209","20191214"
"TA+b080q","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0b53","0","0","0","0","0","1","1","20181209","20191214"
"TA+b05x2","0","0","0","0","0","0","1","20181209","20191214"
"TA+b08i0","0","0","0","0","0","0","1","20181209","20191214"
"TA+b06ls","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0bda","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0bcr","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0cq1","0","0","0","0","0","0","1","20181209","20191214"
"TA+b09og","0","0","0","0","0","1","1","20181209","20191214"
"TA+b09oz","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0oyo","1","1","1","1","1","1","1","20181209","20191214"
"TA+b11xg","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11xi","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11xj","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xk","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xl","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xm","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xn","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xo","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xp","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11xq","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0jyo","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xr","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xs","0","1","0","0","1","1","1","20181209","20191214"
"TA+b11xz","0","0","0","0","1","1","1","20181209","20191214"
"TA+b11y4","0","0","0","0","1","1","0","20181209","20191214"
"TA+b11xe","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0ahp","0","0","0","1","0","0","0","20181209","20191214"
"TA+b0knp","1","1","1","1","1","1","0","20181209","20191214"
"TA+b0ai9","1","0","0","0","0","0","0","20181209","20191214"
"TA+b01xs","0","0","0","0","1","0","0","20181209","20191214"
"TA+b0bvo","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0mse","0","0","0","1","1","0","0","20181209","20191214"
"TA+b0djt","0","0","1","1","1","0","0","20181209","20191214"
"TA+b0a91","1","0","1","1","1","0","0","20181209","20191214"
"TA+b0hdb","0","0","0","1","1","0","0","20181209","20191214"
"TA+b11xy","1","0","0","0","0","0","1","20181209","20191214"
"TA+b04tn","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11xh","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0kp2","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0p4h","1","0","0","0","1","0","0","20181209","20191214"
