from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8500309:0:2","8500309:0:4","2","180"
"8500309:0:2","8500309:0:5","2","180"
"8500309:0:2","8500309:0:3","2","180"
"8500309:0:2","8500309:0:1","2","180"
"8500309:0:2","8500309:0:5B","2","180"
"8500305:0:3","8500305:0:1","2","180"
"8500305:0:3","8500305:0:2","2","180"
"8500304:0:1","8500304:0:2","2","120"
"8500320:0:4","8500320:0:2","2","120"
"8500320:0:4","8500320:0:3","2","120"
"8500320:0:4","8500320:0:5","2","120"
"8500303:0:3","8500303:0:2","2","120"
"8500302:0:2","8500302:0:3","2","120"
"8500301:0:4","8500301:0:3","2","180"
"8500313:0:1","8500313:0:2","2","120"
"8500300:0:4","8500300:0:5","2","120"
"8517131:0:1","8517131:0:2","2","120"
"8500021:0:4","8500021:0:5","2","180"
"8500021:0:4","8500021:0:2","2","180"
"8500021:0:4","8500021:0:1","2","180"
"8500021:0:4","8500021:0:7","2","180"
"8500020:0:1","8500020:0:3","2","120"
"8500020:0:1","8500020:0:2","2","120"
"8500020:0:1","8500020:0:4","2","120"
"8500010:0:1","8500010:0:9","2","300"
"8500010:0:1","8500010:0:4","2","300"
"8500010:0:1","8500010:0:3","2","300"
"8500010:0:1","8500010:0:5","2","300"
"8500010:0:1","8500010:0:6","2","300"
"8500010:0:1","8500010:0:2","2","300"
"8500010:0:1","8500010:0:11AB","2","300"
"8500010:0:1","8500010:0:7","2","300"
"8500010:0:1","8500010:0:16","2","300"
"8500010:0:1","8500010:0:17","2","300"
"8500010:0:1","8500010:0:14","2","300"
"8500010:0:1","8500010:0:12","2","300"
"8500010:0:1","8500010:0:11","2","300"
"8500010:0:1","8500010:0:10","2","300"
"8500010:0:1","8500010:0:8","2","300"
"8500010:0:1","8500010:0:5AB","2","300"
"8500010:0:1","8500010:0:15","2","300"
"8500010:0:1","8500010:0:31","2","300"
"8500010:0:1","8500010:0:33","2","300"
"8500010:0:1","8500010:0:35","2","300"
"8500010:0:1","8500010:0:7AB","2","300"
"8500010:0:1","8500010:0:9AB","2","300"
"8500010:0:1","8500010:0:30","2","300"
"8500010:0:1","8500010:0:16C","2","300"
"8500010:0:1","8500010:0:4B","2","300"
"8500010:0:1","8500010:0:9CD","2","300"
"8500010:0:1","8578143:0:D","2","360"
"8500010:0:1","8578143:0:J","2","360"
"8500010:0:1","8578143:0:F","2","360"
"8500010:0:1","8578143:0:E","2","360"
"8500010:0:1","8578143:0:G","2","360"
"8500010:0:1","8500146:0:L","2","540"
"8500010:0:1","8500146:0:M","2","540"
"8500010:0:1","8578143:0:H","2","360"
"8500010:0:1","8578143:0:C","2","360"
"8500010:0:1","8578143:0:K","2","360"
"8500010:0:1","8578143:0:A","2","360"
"8500010:0:1","8578143:0:B","2","360"
"8500010:0:1","8500010:0:8AB","2","300"
"8500010:0:1","8500010:0:2B","2","300"
"8500010:0:1","8500010:0:K","2","300"
"8500010:0:1","8500010:0:A","2","300"
"8500010:0:9","8500010:0:1","2","300"
"8500010:0:9","8500010:0:4","2","300"
"8500010:0:9","8500010:0:3","2","300"
"8500010:0:9","8500010:0:5","2","300"
"8500010:0:9","8500010:0:6","2","300"
"8500010:0:9","8500010:0:2","2","300"
"8500010:0:9","8500010:0:11AB","2","300"
"8500010:0:9","8500010:0:7","2","300"
"8500010:0:9","8500010:0:16","2","300"
"8500010:0:9","8500010:0:17","2","300"
